This is potfit-git compiled on Nov 22 2016, 17:49:28.

Reading parameter file >> input_test.tmp << ... 
Reading parameter file >> input_test.tmp << ... done
Starting to read the potential file:
 - Potential file format 0 (analytic potentials) detected
 - Using 1 PAIR potentials to calculate forces
 - Successfully read 1 potential table(s)
Reading potential file >> morse_230616.pot << ... done
Reading the config file >> potfit_initial_230616.config << and calculating neighbor lists ...
Reading the config file >> potfit_initial_230616.config << and calculating neighbor lists ... done

Read 6 configurations (6 with forces, 0 with stresses)
with a total of 182 atoms (182 Ni (100.00%)).

Minimal Distances Matrix:
Atom	      Ni	with
Ni	2.276916	

Global energy weight: 100.000000

Starting optimization with 4 parameters.
  k	T        	  m	F          	F_opt
 10	19.687440	 11	66.028942	8.172188
 10	19.687440	 12	46.876830	8.172188
 11	16.734324	  1	18.533356	8.172188
 11	16.734324	  2	79.043074	8.172188
 11	16.734324	  3	40.828820	8.172188
 11	16.734324	  4	35.021980	8.172188
 11	16.734324	  5	40.441523	8.172188
 11	16.734324	  6	10.330784	8.172188
 11	16.734324	  7	56.265956	8.172188
 11	16.734324	  8	43.451293	8.172188
 11	16.734324	  9	61.491682	8.172188
 11	16.734324	 10	104.285916	8.172188
 11	16.734324	 11	60.708550	8.172188
 11	16.734324	 12	18.526254	8.172188
 12	14.224176	  1	31.322542	8.172188
 12	14.224176	  2	48.138592	8.172188
 12	14.224176	  3	55.867166	8.172188
 12	14.224176	  4	28.999528	8.172188
 12	14.224176	  5	32.290977	8.172188
 12	14.224176	  6	41.041191	8.172188
 12	14.224176	  7	34.734174	8.172188
 12	14.224176	  8	18.240253	8.172188
 12	14.224176	  9	47.550618	8.172188
 12	14.224176	 10	26.738632	8.172188
 12	14.224176	 11	15.765090	8.172188
 12	14.224176	 12	43.198821	8.172188
 13	12.090549	  1	20.505703	8.172188
 13	12.090549	  2	16.895773	8.172188
 13	12.090549	  3	8.966518	8.172188
 13	12.090549	  4	18.731766	8.172188
 13	12.090549	  5	15.635196	8.172188
 13	12.090549	  6	28.748159	8.172188
 13	12.090549	  7	19.946760	8.172188
 13	12.090549	  8	42.488751	8.172188
 13	12.090549	  9	37.977700	8.172188
 13	12.090549	 10	29.933422	8.172188
 13	12.090549	 11	40.272780	8.172188
 13	12.090549	 12	15.373976	8.172188
 14	10.276967	  1	17.399813	8.172188
 14	10.276967	  2	25.505285	8.172188
 14	10.276967	  3	39.444230	8.172188
 14	10.276967	  4	17.999205	8.172188
 14	10.276967	  5	18.985419	8.172188
 14	10.276967	  6	35.457849	8.172188
 14	10.276967	  7	18.123595	8.172188
 14	10.276967	  8	23.753460	8.172188
 14	10.276967	  9	25.854267	8.172188
 14	10.276967	 10	16.317243	8.172188
 14	10.276967	 11	25.193790	8.172188
 14	10.276967	 12	33.514453	8.172188
 15	8.735422	  1	25.504105	8.172188
 15	8.735422	  2	26.225845	8.172188
 15	8.735422	  3	12.912384	8.172188
 15	8.735422	  4	13.585318	8.172188
 15	8.735422	  5	22.751473	8.172188
 15	8.735422	  6	25.430743	8.172188
 15	8.735422	  7	16.352242	8.172188
 15	8.735422	  8	17.391905	8.172188
 15	8.735422	  9	25.088742	8.172188
 15	8.735422	 10	41.177970	8.172188
 15	8.735422	 11	14.590582	8.172188
 15	8.735422	 12	25.864213	8.172188
 16	7.425109	  1	15.463727	8.172188
 16	7.425109	  2	15.190065	8.172188
 16	7.425109	  3	21.222960	8.172188
 16	7.425109	  4	37.697040	8.172188
 16	7.425109	  5	14.703279	8.172188
 16	7.425109	  6	16.912608	8.172188
 16	7.425109	  7	20.835869	8.172188
 16	7.425109	  8	32.173449	8.172188
 16	7.425109	  9	18.639068	8.172188
 16	7.425109	 10	16.046473	8.172188
 16	7.425109	 11	10.591726	8.172188
 16	7.425109	 12	17.641139	8.172188
 17	6.311342	  1	21.436433	8.172188
 17	6.311342	  2	14.753139	8.172188
 17	6.311342	  3	23.040446	8.172188
 17	6.311342	  4	22.958818	8.172188
 17	6.311342	  5	21.669135	8.172188
 17	6.311342	  6	11.466028	8.172188
 17	6.311342	  7	14.852960	8.172188
 17	6.311342	  8	27.412316	8.172188
 17	6.311342	  9	17.719638	8.172188
 17	6.311342	 10	10.319969	8.172188
 17	6.311342	 11	23.321985	8.172188
 17	6.311342	 12	17.382475	8.172188
 18	5.364641	  1	12.591496	8.172188
 18	5.364641	  2	17.339815	8.172188
 18	5.364641	  3	12.607892	8.172188
 18	5.364641	  4	12.391855	8.172188
 18	5.364641	  5	11.329834	8.172188
 18	5.364641	  6	13.706764	8.172188
 18	5.364641	  7	14.532457	8.172188
 18	5.364641	  8	25.436172	8.172188
 18	5.364641	  9	16.056613	8.172188
 18	5.364641	 10	12.220530	8.172188
 18	5.364641	 11	17.364687	8.172188
 18	5.364641	 12	15.160170	8.172188
 19	4.559945	  1	11.249075	8.172188
 19	4.559945	  2	24.600791	8.172188
 19	4.559945	  3	12.154267	8.172188
 19	4.559945	  4	9.234196	8.172188
 19	4.559945	  5	11.062684	8.172188
 19	4.559945	  6	12.521196	8.172188
 19	4.559945	  7	14.847229	8.172188
 19	4.559945	  8	15.060780	8.172188
 19	4.559945	  9	18.241679	8.172188
 19	4.559945	 10	10.721588	8.172188
 19	4.559945	 11	12.686785	8.172188
 19	4.559945	 12	10.235011	8.172188
 20	3.875953	  1	8.583351	8.172188
 20	3.875953	  2	19.214729	8.172188
 20	3.875953	  3	11.600460	8.172188
 20	3.875953	  4	10.592086	8.172188
 20	3.875953	  5	14.667164	8.172188
 20	3.875953	  6	13.846162	8.172188
 20	3.875953	  7	14.915848	8.172188
 20	3.875953	  8	11.258829	8.172188
 20	3.875953	  9	14.487809	8.172188
 20	3.875953	 10	18.326889	8.172188
 20	3.875953	 11	17.131961	8.172188
 20	3.875953	 12	22.336692	8.172188
 21	3.294560	  1	13.150636	8.172188
 21	3.294560	  2	11.572168	8.172188
 21	3.294560	  3	16.704465	8.172188
 21	3.294560	  4	11.744641	8.172188
 21	3.294560	  5	16.151936	8.172188
 21	3.294560	  6	15.061090	8.172188
 21	3.294560	  7	10.147379	8.172188
 21	3.294560	  8	15.204148	8.172188
 21	3.294560	  9	17.930489	8.172188
 21	3.294560	 10	16.660606	8.172188
 21	3.294560	 11	12.783310	8.172188
 21	3.294560	 12	23.228295	8.172188
 22	2.800376	  1	9.743012	8.172188
 22	2.800376	  2	9.220646	8.172188
 22	2.800376	  3	13.289579	8.172188
 22	2.800376	  4	10.745343	8.172188
 22	2.800376	  5	12.772388	8.172188
 22	2.800376	  6	10.746586	8.172188
 22	2.800376	  7	10.768975	8.130553
 22	2.800376	  8	8.726075	8.130553
 22	2.800376	  9	33.256765	8.130553
 22	2.800376	 10	12.815985	8.130553
 22	2.800376	 11	14.199511	8.130553
 22	2.800376	 12	13.691254	8.130553
 23	2.380320	  1	15.220836	8.130553
 23	2.380320	  2	12.051970	8.130553
 23	2.380320	  3	11.110882	8.130553
 23	2.380320	  4	13.031644	8.130553
 23	2.380320	  5	8.617102	8.130553
 23	2.380320	  6	11.875565	8.130553
 23	2.380320	  7	17.032639	8.130553
 23	2.380320	  8	12.667185	8.130553
 23	2.380320	  9	25.818745	8.130553
 23	2.380320	 10	13.081794	8.130553
 23	2.380320	 11	9.489974	8.130553
 23	2.380320	 12	10.898222	8.130553
 24	2.023272	  1	8.812552	8.130553
 24	2.023272	  2	10.871644	8.130553
 24	2.023272	  3	8.939148	8.130553
 24	2.023272	  4	10.686231	8.130553
 24	2.023272	  5	8.994012	8.130553
 24	2.023272	  6	10.658006	8.130553
 24	2.023272	  7	8.963440	8.130553
 24	2.023272	  8	12.487380	8.130553
 24	2.023272	  9	13.936480	8.130553
 24	2.023272	 10	13.096455	8.130553
 24	2.023272	 11	8.166088	8.130553
 24	2.023272	 12	9.584129	8.130553
 25	1.719781	  1	11.017401	8.130553
 25	1.719781	  2	8.839589	8.130553
 25	1.719781	  3	9.307081	8.130553
 25	1.719781	  4	8.918504	8.130553
 25	1.719781	  5	9.013250	8.130553
 25	1.719781	  6	14.893232	8.130553
 25	1.719781	  7	9.988075	8.130553
 25	1.719781	  8	11.632121	8.130553
 25	1.719781	  9	9.473094	8.130553
 25	1.719781	 10	9.014611	8.130553
 25	1.719781	 11	8.439401	8.130553
 25	1.719781	 12	10.925982	8.130553
 26	1.461814	  1	9.930640	8.130553
 26	1.461814	  2	8.850925	8.130553
 26	1.461814	  3	9.040049	8.130553
 26	1.461814	  4	9.516229	8.130553
 26	1.461814	  5	8.781390	8.130553
 26	1.461814	  6	9.043196	8.130553
 26	1.461814	  7	13.079830	8.130553
 26	1.461814	  8	9.251017	8.130553
 26	1.461814	  9	10.964676	8.130553
 26	1.461814	 10	9.203431	8.130553
 26	1.461814	 11	8.900047	8.130553
 26	1.461814	 12	8.277140	8.130553
 27	1.242542	  1	9.455343	8.130553
 27	1.242542	  2	9.324216	8.130553
 27	1.242542	  3	9.204896	8.130553
 27	1.242542	  4	10.243132	8.130553
 27	1.242542	  5	10.527660	8.130553
 27	1.242542	  6	9.354844	8.130553
 27	1.242542	  7	8.800658	8.130553
 27	1.242542	  8	8.983377	8.130553
 27	1.242542	  9	12.269664	8.130553
 27	1.242542	 10	10.458946	8.130553
 27	1.242542	 11	8.891875	8.130553
 27	1.242542	 12	8.636485	8.130553
 28	1.056160	  1	9.093576	8.130553
 28	1.056160	  2	8.860414	8.130553
 28	1.056160	  3	8.252476	8.130553
 28	1.056160	  4	8.563323	8.130553
 28	1.056160	  5	9.645363	8.130553
 28	1.056160	  6	10.615850	8.130553
 28	1.056160	  7	9.886654	8.130553
 28	1.056160	  8	10.309065	8.130553
 28	1.056160	  9	9.879078	8.130553
 28	1.056160	 10	8.493812	8.130553
 28	1.056160	 11	9.319811	8.130553
 28	1.056160	 12	8.971268	8.130553
 29	0.897736	  1	9.383721	8.130553
 29	0.897736	  2	11.517789	8.130553
 29	0.897736	  3	10.546309	8.130553
 29	0.897736	  4	9.086570	8.130553
 29	0.897736	  5	8.867935	8.130553
 29	0.897736	  6	9.570977	8.130553
 29	0.897736	  7	8.288669	8.130553
 29	0.897736	  8	8.582903	8.130553
 29	0.897736	  9	8.228285	8.130553
 29	0.897736	 10	8.439897	8.130553
 29	0.897736	 11	8.537019	8.130553
 29	0.897736	 12	9.146729	8.130553
 30	0.763076	  1	8.817023	8.130553
 30	0.763076	  2	10.212768	8.130553
 30	0.763076	  3	8.895367	8.130553
 30	0.763076	  4	9.025270	8.130553
 30	0.763076	  5	9.985274	8.130553
 30	0.763076	  6	10.183517	8.130553
 30	0.763076	  7	9.950792	8.130553
 30	0.763076	  8	8.923231	8.130553
 30	0.763076	  9	9.535340	8.130553
 30	0.763076	 10	8.384768	8.130553
 30	0.763076	 11	8.502955	8.130553
 30	0.763076	 12	8.842469	8.130553
 31	0.648615	  1	9.628226	8.130553
 31	0.648615	  2	8.800310	8.130553
 31	0.648615	  3	10.645080	8.130553
 31	0.648615	  4	9.808290	8.130553
 31	0.648615	  5	9.782322	8.130553
 31	0.648615	  6	8.868920	8.130553
 31	0.648615	  7	8.687024	8.130553
 31	0.648615	  8	8.329434	8.130553
 31	0.648615	  9	8.304891	8.130553
 31	0.648615	 10	8.243593	8.130553
 31	0.648615	 11	9.010068	8.130553
 31	0.648615	 12	8.479288	8.130553
 32	0.551322	  1	9.231217	8.130553
 32	0.551322	  2	9.250745	8.130553
 32	0.551322	  3	9.570505	8.130553
 32	0.551322	  4	8.223506	8.130553
 32	0.551322	  5	8.344322	8.130553
 32	0.551322	  6	10.398090	8.130553
 32	0.551322	  7	8.463510	8.130553
 32	0.551322	  8	8.794412	8.130553
 32	0.551322	  9	8.673501	8.130553
 32	0.551322	 10	8.882241	8.130553
 32	0.551322	 11	8.685658	8.130553
 32	0.551322	 12	9.865295	8.130553
 33	0.468624	  1	9.070244	8.130553
 33	0.468624	  2	9.274143	8.130553
 33	0.468624	  3	8.462771	8.130553
 33	0.468624	  4	8.365979	8.130553
 33	0.468624	  5	8.134485	8.130553
 33	0.468624	  6	9.027657	8.130553
 33	0.468624	  7	8.508297	8.130553
 33	0.468624	  8	9.904797	8.130553
 33	0.468624	  9	9.952319	8.130553
 33	0.468624	 10	9.158417	8.130553
 33	0.468624	 11	9.728776	8.130553
 33	0.468624	 12	9.019595	8.130553
 34	0.398330	  1	9.019578	8.130553
 34	0.398330	  2	8.189587	8.130553
 34	0.398330	  3	8.689678	8.130553
 34	0.398330	  4	8.435396	8.120858
 34	0.398330	  5	8.373821	8.120858
 34	0.398330	  6	8.418122	8.120858
 34	0.398330	  7	8.600631	8.120858
 34	0.398330	  8	8.400235	8.120858
 34	0.398330	  9	8.605117	8.120858
 34	0.398330	 10	8.932939	8.120858
 34	0.398330	 11	8.720044	8.120858
 34	0.398330	 12	9.039750	8.120858
 35	0.338581	  1	8.207113	8.120858
 35	0.338581	  2	8.739374	8.120858
 35	0.338581	  3	8.732289	8.120858
 35	0.338581	  4	8.989045	8.120858
 35	0.338581	  5	9.647258	8.120858
 35	0.338581	  6	8.664203	8.120858
 35	0.338581	  7	8.480263	8.120858
 35	0.338581	  8	8.289410	8.120858
 35	0.338581	  9	8.374648	8.120858
 35	0.338581	 10	8.457268	8.120858
